top,bottom,logmid,h
2.933320761387623765e+00,3.492754059541652301e-01,-4.970935019392467291e-01,1.773458967764313332e+00
2.982704371065753701e+00,4.253182419793628544e-01,-5.807264533591198763e-01,1.755267807929115520e+00
2.936739054434996277e+00,4.177181178139680595e-01,-5.273982093961906426e-01,2.084971771383686168e+00
2.966489368527225334e+00,4.467943692527113764e-01,-5.970893194697491912e-01,1.982349093667742812e+00
2.999998999999999416e+00,4.353199362396705796e-01,-6.693417057451265251e-01,1.935807244469156307e+00
2.989006808400684889e+00,4.790842486493126495e-01,-6.015187325661085493e-01,1.998166240708695751e+00
2.933359111259146168e+00,5.234280380677627242e-01,-6.232828893618914678e-01,2.249636632206120090e+00
2.999998999999999416e+00,4.601022274070570850e-01,-6.550490733916249919e-01,1.866549536336290283e+00
2.999998999999999416e+00,5.017703766778219832e-01,-6.553397192023502349e-01,1.971271307012145479e+00
2.994265239089449082e+00,3.975789908937354400e-01,-5.599248086981272188e-01,2.023785732483282196e+00
2.974082202309446199e+00,5.123619641100645161e-01,-6.047846618888256254e-01,2.181549718799170368e+00
2.996353911453382146e+00,4.903494267775888038e-01,-6.192581478847740684e-01,1.932862362266623890e+00
2.973766185033912546e+00,3.700137845587669894e-01,-5.396744015707791720e-01,2.167344136717725522e+00
2.999998999999999416e+00,4.676338838118250241e-01,-6.003286668121270431e-01,2.062089950815329420e+00
2.947675111020541472e+00,3.906978868586946096e-01,-5.396088722395397941e-01,2.007380835611564329e+00
2.981886459286213320e+00,4.667433850295801268e-01,-5.807353198745290879e-01,2.055335524469953157e+00
2.999998999999999416e+00,4.569015291801066248e-01,-5.968914147273828297e-01,1.905130024403924205e+00
2.965592890591087549e+00,4.778218431715062220e-01,-6.270406590784168843e-01,1.926797333681113722e+00
2.893778207242311939e+00,5.425142907261005787e-01,-5.638859525467102563e-01,2.428090873799550575e+00
2.999998999999999416e+00,4.654762630034701698e-01,-6.154437694626899713e-01,1.804224749526567528e+00
2.916913886500517972e+00,4.913068002283399460e-01,-5.519033141937728093e-01,2.358474711619953368e+00
2.927661400035008299e+00,3.742823675403268435e-01,-5.144570014056519813e-01,2.068822183192529973e+00
2.999998999999999416e+00,4.782264866543766701e-01,-6.138739383433571284e-01,1.892183746487169582e+00
