strain,time_min,protein,estimator,theta,point_physically_admissible,theta_lo,theta_hi,p0_lo,p0_hi,pn_lo,pn_hi,point_pn_min,point_p0_max,source_row
delta_glnK,0.5,GS,modified_over_total,0.29450098931565605,True,0,0.8799194120282212,0.0,1.0,0.0,0.8799194120282212,0,0.705499010684344,48
delta_glnK,0.5,GS,paired_peptide_fraction,0.3028974015396058,True,0,0.6019399545666052,0.0,1.0,0.0,0.6019399545666052,0,0.6971025984603942,48
delta_glnK,1,GlnB,modified_over_total,0.24387820851845576,True,0,1,0.0,1.0,0.0,1.0,0,0.7561217914815442,49
delta_glnK,1,GlnB,paired_peptide_fraction,0.19100113914381,True,0,1,0.0,1.0,0.0,1.0,0,0.80899886085619,49
delta_glnK,1,GS,modified_over_total,0.2971572271862486,True,0,1,0.0,1.0,0.0,1.0,0,0.7028427728137514,49
delta_glnK,1,GS,paired_peptide_fraction,0.2972487179518454,True,0,0.7567983633598584,0.0,1.0,0.0,0.7567983633598584,0,0.7027512820481546,49
delta_glnK,2,GlnB,modified_over_total,0.17225269218870595,True,0.03503741287662285,1,0.0,0.9649625871233771,0.0,1.0,0,0.827747307811294,50
delta_glnK,2,GlnB,paired_peptide_fraction,0.13926718855733952,True,0.03218076239663932,0.5763233121410692,0.0,0.9678192376033606,0.0,0.5763233121410692,0,0.8607328114426605,50
delta_glnK,2,GS,modified_over_total,0.35328979424189083,True,0,1,0.0,1.0,0.0,1.0,0,0.6467102057581091,50
delta_glnK,2,GS,paired_peptide_fraction,0.35973839567119287,True,0,0.6774400494264516,0.0,1.0,0.0,0.6774400494264516,0,0.6402616043288072,50
delta_glnK,5,GlnB,modified_over_total,0.20558279998424744,True,0.02427050310808525,1,0.0,0.9757294968919148,0.0,1.0,0,0.7944172000157526,51
delta_glnK,5,GlnB,paired_peptide_fraction,0.1543156086579386,True,0.01955141472028427,1,0.0,0.9804485852797157,0.0,1.0,0,0.8456843913420614,51
delta_glnK,5,GS,modified_over_total,0.34813977102803084,True,0,1,0.0,1.0,0.0,1.0,0,0.6518602289719692,51
delta_glnK,5,GS,paired_peptide_fraction,0.34276465463127836,True,0,0.6609148917942395,0.0,1.0,0.0,0.6609148917942395,0,0.6572353453687216,51
delta_glnK,10.53333333333334,GlnB,modified_over_total,0.25768344918384317,True,0,1,0.0,1.0,0.0,1.0,0,0.7423165508161569,52
delta_glnK,10.53333333333334,GlnB,paired_peptide_fraction,0.17481844927767393,True,0,1,0.0,1.0,0.0,1.0,0,0.8251815507223261,52
delta_glnK,10.53333333333334,GS,modified_over_total,0.27455217022735917,True,0.2036618652680688,0.3612150817564838,0.0,0.7963381347319312,0.0,0.3612150817564838,0,0.7254478297726408,52
delta_glnK,10.53333333333334,GS,paired_peptide_fraction,0.25004234988770047,True,0.1590049897942368,0.4130461650700733,0.0,0.8409950102057632,0.0,0.4130461650700733,0,0.7499576501122995,52
delta_glnK,25.933333333333337,GlnB,modified_over_total,0.5493276509280177,True,0,1,0.0,1.0,0.0,1.0,0,0.4506723490719823,53
delta_glnK,25.933333333333337,GlnB,paired_peptide_fraction,0.45458654295862116,True,0,1,0.0,1.0,0.0,1.0,0,0.5454134570413789,53
delta_glnK,25.933333333333337,GS,modified_over_total,0.07454402978682849,True,0,0.30117729799075166,0.0,1.0,0.0,0.30117729799075166,0,0.9254559702131715,53
delta_glnK,25.933333333333337,GS,paired_peptide_fraction,0.07021938934594532,True,0,0.24404720468772845,0.0,1.0,0.0,0.24404720468772845,0,0.9297806106540547,53
