# S5 Fig B: parameters in results/counterexamples_parameters.json (condition_i)
l,R
3.9479084478356133e-05,-0.7419772084161873
3.9636559793030925e-05,-0.7416049834003386
3.9794663249798154e-05,-0.7412315605544951
3.995339735420919e-05,-0.7408569370303122
4.0112764621809585e-05,-0.7404811099798029
4.027276757817901e-05,-0.7401040765553938
4.043340875897113e-05,-0.7397258339099846
4.0594690709954175e-05,-0.7393463791970112
4.075661598705072e-05,-0.7389657095705064
4.0919187156378597e-05,-0.7385838221851592
4.1082406794291426e-05,-0.7382007141963769
4.124627748741947e-05,-0.737816382760347
4.1410801832710524e-05,-0.737430825034101
4.157598243747142e-05,-0.7370440381755743
4.174182191940884e-05,-0.7366560193436728
4.190832290667114e-05,-0.7362667656983333
4.20754880378899e-05,-0.7358762744005904
4.2243319962221745e-05,-0.7354845426126366
4.241182133939035e-05,-0.7350915674978927
4.2580994839728475e-05,-0.734697346221069
4.275084314422064e-05,-0.7343018759482294
4.2921368944545106e-05,-0.733905153846864
4.3092574943116845e-05,-0.7335071770859469
4.326446385313031e-05,-0.7331079428360114
4.343703839860243e-05,-0.7327074482692091
4.3610301314415765e-05,-0.7323056905593839
4.378425534636176e-05,-0.7319026668821372
4.395890325118462e-05,-0.7314983744148941
4.413424779662447e-05,-0.7310928103369769
4.431029176146157e-05,-0.7306859718296721
4.448703793556025e-05,-0.730277856076297
4.466448911991313e-05,-0.7298684602622753
4.4842648126685515e-05,-0.729457781575202
4.5021517779259865e-05,-0.7290458172049192
4.520110091228091e-05,-0.7286325643435831
4.53814003717e-05,-0.7282180201857373
4.556241901482061e-05,-0.7278021819283859
4.574415971034351e-05,-0.727385046771062
4.59266253384122e-05,-0.7269666119159072
4.610981879065851e-05,-0.7265468745677373
4.629374297024878e-05,-0.7261258319341205
4.647840079192928e-05,-0.7257034812254503
4.666379518207282e-05,-0.7252798196550194
4.6849929078725e-05,-0.7248548444390963
4.703680543165077e-05,-0.7244285527969965
4.722442720238122e-05,-0.7240009419511635
4.741279736426035e-05,-0.7235720091272402
4.760191890249263e-05,-0.7231417515541472
4.779179481418971e-05,-0.7227101664641594
4.798242810841829e-05,-0.7222772510929844
4.8173821806247735e-05,-0.721843002679837
4.836597894079793e-05,-0.7214074184675213
4.855890255728737e-05,-0.7209704957025063
