# S2 Fig: sup over the input of the ladder factor nu for the three-site ladder c = (1, 3a, 3b, 1); a = b = 1 is the binomial ladder (nu = 1); the bound nu <= 3 is approached as a, b -> 0
log10_a,log10_b,nu_sup
-1.7,-2.1,2.8940685062290066
-1.5999999999999999,-2.1,2.8761044609944673
-1.5,-2.1,2.8538874267147896
-1.4,-2.1,2.8267286085824193
-1.2999999999999998,-2.1,2.7944266497048296
-1.2,-2.1,2.7552473196842935
-1.0999999999999999,-2.1,2.708105240197835
-1.0,-2.1,2.652959075209769
-0.8999999999999999,-2.1,2.589642447484227
-0.7999999999999998,-2.1,2.5168473258593624
-0.6999999999999997,-2.1,2.4380807974369776
-0.5999999999999996,-2.1,2.3539758963614927
-0.5,-2.1,2.2688002456211227
-0.3999999999999999,-2.1,2.1875104754127572
-0.2999999999999998,-2.1,2.1176126567121076
-0.19999999999999973,-2.1,2.06207046086908
