eta,G_uM,fixed_free_GS_gap,closed_GS_gap,RHS
0.00026366508987303583,59.34030120557235,8.508804674788126e-09,8.708246095577576e-09,6.938893903907228e-18
0.00026366508987303583,69.31448431551465,1.829111200566183e-08,1.8820776984422236e-08,1.0408340855860843e-17
0.00026366508987303583,80.9651727125807,4.009901506359711e-08,4.148680838558967e-08,1.734723475976807e-17
0.00026366508987303583,94.5741609003176,8.916997847583947e-08,9.266907330753894e-08,6.938893903907228e-18
0.00026366508987303583,110.47060866220276,2.000435436609778e-07,2.0801824492143808e-07,6.938893903907228e-18
0.00026366508987303583,129.0390024296432,4.5014352767036407e-07,4.633605889764556e-07,6.938893903907228e-18
0.00026366508987303583,150.72845483229952,1.0095168886266846e-06,1.0019850807002108e-06,1.0408340855860843e-17
0.00026366508987303583,176.06356735840254,2.2391197995177622e-06,2.0233131513159447e-06,1.3877787807814457e-17
0.00026366508987303583,205.65711885957793,4.862586682597911e-06,3.601564667296206e-06,3.122502256758253e-17
0.00026366508987303583,240.22488679628626,1.0189146679252803e-05,5.467627797989261e-06,4.5102810375396984e-17
0.00026366508987303583,280.60295970445543,2.0131735362305392e-05,8.087193095362988e-06,5.551115123125783e-17
0.00026366508987303583,327.76795961890105,3.6132095676363885e-05,1.4446770490658678e-05,7.632783294297951e-17
0.00026366508987303583,382.86066357208045,5.569431778096323e-05,2.5806778304382494e-05,5.551115123125783e-17
0.00026366508987303583,447.213595499958,6.895173573473468e-05,3.446544972995902e-05,7.936359902593892e-17
0.00026366508987303583,522.3832559187591,6.547821282315569e-05,3.0161073124812532e-05,6.591949208711867e-17
0.00026366508987303583,610.1877689098774,4.824333273878434e-05,1.5238904578551704e-05,1.1796119636642288e-16
0.00026366508987303583,712.7508569783073,2.9451923430401372e-05,8.777424463923822e-07,1.196959198423997e-16
0.00026366508987303583,832.5532074018732,1.614444151110117e-05,7.04861793532352e-06,1.9081958235744878e-16
0.00026366508987303583,972.4924724660731,8.473199103797846e-06,9.37867280093041e-06,1.457167719820518e-16
0.00026366508987303583,1135.9533548066277,4.438541688522868e-06,8.753636009162236e-06,3.9898639947466563e-16
0.00026366508987303583,1326.889473009725,2.377083983207129e-06,7.106734315143193e-06,3.3306690738754696e-16
0.00026366508987303583,1549.918987548337,1.3180509622623404e-06,5.399063474187393e-06,4.996003610813204e-16
0.00026366508987303583,1810.4362999534146,7.606969311124701e-07,3.976556601892334e-06,1.1102230246251565e-16
0.00026366508987303583,2114.7425268811285,4.572324169282993e-07,2.8948767279990406e-06,7.91033905045424e-16
0.00026366508987303583,2470.1979048446246,2.855224303655035e-07,2.104756119836182e-06,1.249000902703301e-16
0.00026366508987303583,2885.3998118144273,1.8444866389799586e-07,1.5356597550253426e-06,2.914335439641036e-16
0.00026366508987303583,3370.3907114852836,1.226427960299148e-07,1.1257040617440595e-06,3.191891195797325e-16
0.00026366508987303583,3936.9010497450113,8.350170266346879e-08,8.282715413532316e-07,1.942890293094024e-16
0.00026366508987303583,4598.632978267703,5.7936204167496896e-08,6.104390317673847e-07,4.579669976578771e-16
0.00026366508987303583,5371.591767636877,4.079325743866491e-08,4.4952871125492067e-07,2.498001805406602e-16
0.00026366508987303583,6274.472925867966,2.904675466819384e-08,3.2995428500548485e-07,5.828670879282072e-16
